FSA,BEV,PHEV,Total EV
K0A,1618,675,2293
K0B,157,97,254
K0C,343,226,569
K0E,273,142,415
K0G,428,187,615
K0H,388,236,624
K0J,164,123,287
K0K,904,457,1361
K0L,466,274,740
K0M,336,138,474
K0N,1,,1
K1A,92,71,163
K1B,182,97,279
K1C,364,283,647
K1E,122,85,207
K1G,405,238,643
K1H,207,139,346
K1J,300,175,475
K1K,312,217,529
K1L,122,85,207
K1M,142,91,233
K1N,177,125,302
K1P,55,24,79
K1R,159,87,246
K1S,559,387,946
K1T,488,236,724
K1V,531,361,892
K1W,259,135,394
K1X,134,53,187
K1Y,382,205,587
K1Z,266,147,413
K2A,312,173,485
K2B,216,165,381
K2C,279,170,449
K2E,216,122,338
K2G,529,312,841
K2H,318,181,499
K2J,1153,568,1721
K2K,393,232,625
K2L,181,104,285
K2M,418,225,643
K2P,156,77,233
K2R,48,25,73
K2S,721,360,1081
K2T,263,114,377
K2V,288,99,387
K2W,202,76,278
K2Z,,1,1
K3M,,1,1
K4A,802,395,1197
K4B,83,47,130
K4C,131,41,172
K4K,249,131,380
K4M,553,199,752
K4N,1,,1
K4P,252,111,363
K4R,129,65,194
K5M,1,,1
K5W,2,,2
K6A,119,52,171
K6H,169,109,278
K6J,64,56,120
K6K,24,9,33
K6T,4,2,6
K6V,135,115,250
K7A,111,61,172
K7C,249,104,353
K7G,99,39,138
K7H,149,99,248
K7K,219,124,343
K7L,285,173,458
K7M,362,249,611
K7N,48,33,81
K7P,248,115,363
K7R,72,54,126
K7S,172,58,230
K7V,61,34,95
K8A,86,73,159
K8B,2,3,5
K8H,105,73,178
K8J,1,,1
K8K,,1,1
K8N,183,148,331
K8P,94,59,153
K8R,11,9,20
K8V,174,95,269
K9A,281,139,420
K9B,1,,1
K9H,167,111,278
K9J,279,174,453
K9K,123,62,185
K9L,64,30,94
K9P,1,,1
K9V,153,75,228
L0A,200,67,267
L0B,184,69,253
L0C,111,46,157
L0E,208,75,283
L0G,759,220,979
L0H,20,7,27
L0J,147,38,185
L0K,376,156,532
L0L,613,204,817
L0M,301,110,411
L0N,36,10,46
L0P,228,49,277
L0R,1057,438,1495
L0S,875,395,1270
L0V,1,,1
L0X,1,,1
L1A,152,66,218
L1B,168,50,218
L1C,605,185,790
L1E,306,118,424
L1G,283,126,409
L1H,263,107,370
L1J,470,124,594
L1K,598,169,767
L1L,357,107,464
L1M,397,129,526
L1N,557,295,852
L1P,572,163,735
L1R,631,224,855
L1S,542,187,729
L1T,776,199,975
L1V,739,235,974
L1W,317,83,400
L1X,626,148,774
L1Y,69,14,83
L1Z,631,189,820
L2A,131,58,189
L2E,110,58,168
L2G,225,110,335
L2H,336,127,463
L2J,98,55,153
L2K,1,,1
L2M,154,97,251
L2N,253,114,367
L2P,116,43,159
L2R,230,190,420
L2S,179,80,259
L2T,108,61,169
L2V,267,82,349
L2W,28,7,35
L2Y,,1,1
L3A,1,,1
L3B,196,84,280
L3C,214,112,326
L3E,14,3,17
L3H,3,,3
L3J,190,90,280
L3K,101,58,159
L3L,49,9,58
L3M,496,202,698
L3P,809,228,1037
L3R,1677,452,2129
L3S,731,193,924
L3T,1063,340,1403
L3V,342,187,529
L3W,74,28,102
L3X,1139,252,1391
L3Y,656,289,945
L3Z,745,181,926
L4A,1427,393,1820
L4B,1293,423,1716
L4C,1695,461,2156
L4E,1796,403,2199
L4G,1795,440,2235
L4H,1771,361,2132
L4J,1586,420,2006
L4K,840,219,1059
L4L,854,243,1097
L4M,539,167,706
L4N,1167,351,1518
L4P,439,138,577
L4R,104,58,162
L4S,1279,288,1567
L4T,209,77,286
L4V,56,17,73
L4W,618,334,952
L4X,117,57,174
L4Y,364,85,449
L4Z,459,185,644
L5A,287,115,402
L5B,655,200,855
L5C,445,152,597
L5E,207,59,266
L5G,436,165,601
L5H,581,172,753
L5J,395,148,543
L5K,221,79,300
L5L,623,239,862
L5M,1949,542,2491
L5N,1215,445,1660
L5P,3,31,34
L5R,609,190,799
L5S,76,20,96
L5T,183,34,217
L5V,727,219,946
L5W,472,123,595
L5X,1,,1
L5Y,1,1,2
L6A,1909,381,2290
L6B,999,242,1241
L6C,2207,444,2651
L6E,979,213,1192
L6G,273,152,425
L6H,2465,691,3156
L6J,1188,409,1597
L6K,354,134,488
L6L,977,307,1284
L6M,2261,623,2884
L6N,,1,1
L6P,1731,346,2077
L6R,1082,289,1371
L6S,449,207,656
L6T,356,180,536
L6V,293,125,418
L6W,226,78,304
L6X,1048,282,1330
L6Y,1408,397,1805
L6Z,328,132,460
L7A,1484,451,1935
L7B,677,149,826
L7C,1077,281,1358
L7E,588,168,756
L7G,798,284,1082
L7H,3,,3
L7J,187,59,246
L7K,236,51,287
L7L,928,395,1323
L7M,1015,365,1380
L7N,267,140,407
L7P,517,218,735
L7R,327,153,480
L7S,167,67,234
L7T,288,143,431
L7X,,1,1
L7Z,,7,7
L8A,1,1,2
L8B,559,193,752
L8E,578,198,776
L8G,187,81,268
L8H,156,60,216
L8J,399,137,536
L8K,155,111,266
L8L,227,80,307
L8M,73,59,132
L8N,103,49,152
L8P,211,144,355
L8R,50,36,86
L8S,125,76,201
L8T,118,74,192
L8V,78,59,137
L8W,220,87,307
L9A,163,94,257
L9B,265,126,391
L9C,338,175,513
L9E,761,134,895
L9G,591,243,834
L9H,554,312,866
L9J,194,42,236
L9K,367,128,495
L9L,199,55,254
L9M,109,62,171
L9N,779,178,957
L9P,308,112,420
L9R,319,100,419
L9S,572,151,723
L9T,2169,588,2757
L9V,223,76,299
L9W,632,229,861
L9X,302,87,389
L9Y,428,181,609
L9Z,225,88,313
M0N,1,,1
M1B,423,298,721
M1C,502,183,685
M1E,321,132,453
M1G,146,67,213
M1H,164,69,233
M1J,135,59,194
M1K,190,93,283
M1L,204,91,295
M1M,214,108,322
M1N,203,118,321
M1P,291,95,386
M1R,211,71,282
M1S,360,119,479
M1T,253,91,344
M1V,369,106,475
M1W,328,130,458
M1X,165,77,242
M2H,265,92,357
M2J,730,250,980
M2K,481,146,627
M2L,375,114,489
M2M,452,128,580
M2N,1198,397,1595
M2P,282,63,345
M2R,288,134,422
M3A,816,109,925
M3B,489,144,633
M3C,357,104,461
M3H,457,153,610
M3J,263,78,341
M3K,90,32,122
M3L,81,33,114
M3M,75,35,110
M3N,112,39,151
M3S,,1,1
M3V,1,,1
M3Y,1,,1
M4A,104,39,143
M4B,175,72,247
M4C,277,172,449
M4E,315,180,495
M4G,465,215,680
M4H,49,33,82
M4J,284,168,452
M4K,305,151,456
M4L,355,166,521
M4M,361,136,497
M4N,459,185,644
M4P,272,106,378
M4R,234,118,352
M4S,629,141,770
M4T,214,88,302
M4V,372,146,518
M4W,407,217,624
M4X,65,36,101
M4Y,215,73,288
M5A,460,170,630
M5B,109,36,145
M5C,321,38,359
M5E,144,32,176
M5G,152,55,207
M5H,382,85,467
M5J,169,63,232
M5K,6,3,9
M5L,1,1,2
M5M,680,245,925
M5N,307,109,416
M5P,374,167,541
M5R,390,134,524
M5S,117,48,165
M5T,95,32,127
M5V,700,147,847
M5W,6,18,24
M5X,9,2,11
M6A,155,56,211
M6B,224,86,310
M6C,327,114,441
M6E,183,88,271
M6G,254,140,394
M6H,232,140,372
M6J,290,95,385
M6K,289,99,388
M6L,80,40,120
M6M,140,74,214
M6N,194,85,279
M6P,317,176,493
M6R,225,127,352
M6S,491,260,751
M6V,1,,1
M6Y,1,,1
M7A,7,2,9
M8A,1,,1
M8B,1,,1
M8C,,1,1
M8M,1,,1
M8V,574,203,777
M8W,299,109,408
M8X,309,114,423
M8Y,339,119,458
M8Z,579,207,786
M9A,502,228,730
M9B,507,178,685
M9C,331,150,481
M9L,126,36,162
M9M,132,30,162
M9N,123,50,173
M9P,158,60,218
M9R,178,71,249
M9V,276,82,358
M9W,1194,329,1523
M9Y,1,1,2
N0A,254,138,392
N0B,1521,627,2148
N0C,154,55,209
N0E,247,126,373
N0G,488,249,737
N0H,592,347,939
N0J,259,108,367
N0K,101,50,151
N0L,516,220,736
N0M,515,262,777
N0N,200,139,339
N0P,262,146,408
N0R,369,206,575
N1A,54,24,78
N1B,1,,1
N1C,64,41,105
N1E,484,257,741
N1G,393,196,589
N1H,455,203,658
N1J,1,,1
N1K,132,71,203
N1L,329,100,429
N1M,204,101,305
N1P,79,28,107
N1R,360,119,479
N1S,283,117,400
N1T,297,104,401
N2A,404,168,572
N2B,198,79,277
N2C,120,65,185
N2E,329,156,485
N2G,185,76,261
N2H,270,139,409
N2J,308,108,416
N2K,590,213,803
N2L,444,165,609
N2M,263,127,390
N2N,267,156,423
N2P,512,192,704
N2R,455,154,609
N2S,1,1,2
N2T,373,189,562
N2V,410,170,580
N2Z,177,76,253
N3A,277,136,413
N3B,149,77,226
N3C,366,154,520
N3E,85,15,100
N3G,1,,1
N3H,251,105,356
N3J,1,,1
N3K,1,,1
N3L,295,127,422
N3M,1,,1
N3P,42,28,70
N3R,232,125,357
N3S,163,81,244
N3T,492,201,693
N3V,36,11,47
N3W,207,73,280
N3Y,146,70,216
N4B,28,21,49
N4C,1,,1
N4G,162,81,243
N4K,182,116,298
N4L,49,31,80
N4M,1,,1
N4N,61,27,88
N4S,262,108,370
N4T,210,86,296
N4V,46,16,62
N4W,130,56,186
N4X,113,44,157
N4Z,24,13,37
N5A,267,161,428
N5C,139,51,190
N5G,,1,1
N5H,65,30,95
N5K,1,,1
N5L,39,14,53
N5M,1,,1
N5N,1,,1
N5P,143,73,216
N5R,188,115,303
N5V,178,104,282
N5W,104,55,159
N5X,402,217,619
N5Y,114,78,192
N5Z,80,69,149
N6A,138,76,214
N6B,62,32,94
N6C,194,141,335
N6E,80,100,180
N6G,562,310,872
N6H,356,199,555
N6J,112,75,187
N6K,434,258,692
N6L,84,40,124
N6M,106,48,154
N6N,19,6,25
N6P,194,104,298
N6R,1,,1
N7A,96,47,143
N7G,219,60,279
N7L,98,70,168
N7M,148,72,220
N7S,133,111,244
N7T,99,72,171
N7V,49,32,81
N7W,16,19,35
N7X,23,12,35
N8A,32,21,53
N8B,,1,1
N8H,108,62,170
N8L,93,57,150
N8M,76,48,124
N8N,224,149,373
N8P,107,75,182
N8R,61,53,114
N8S,76,67,143
N8T,43,36,79
N8V,1,2,3
N8W,96,78,174
N8X,101,39,140
N8Y,69,38,107
N9A,120,92,212
N9B,60,41,101
N9C,15,19,34
N9E,149,88,237
N9G,156,92,248
N9H,178,95,273
N9J,209,111,320
N9K,37,14,51
N9T,,1,1
N9V,182,102,284
N9Y,117,70,187
P0A,99,45,144
P0B,112,41,153
P0C,47,17,64
P0E,27,15,42
P0G,19,14,33
P0H,98,102,200
P0J,53,42,95
P0K,12,14,26
P0L,26,37,63
P0M,173,137,310
P0N,12,11,23
P0P,33,57,90
P0R,33,24,57
P0S,25,17,42
P0T,47,65,112
P0V,12,9,21
P0W,4,4,8
P0X,14,17,31
P1A,48,37,85
P1B,128,116,244
P1C,28,24,52
P1H,158,68,226
P1L,149,74,223
P1P,64,31,95
P2A,90,43,133
P2B,26,25,51
P2N,12,8,20
P3A,98,71,169
P3B,80,61,141
P3C,35,41,76
P3E,254,163,417
P3G,54,36,90
P3L,19,27,46
P3N,36,32,68
P3P,141,260,401
P3S,2,,2
P3Y,44,34,78
P4A,1,,1
P4N,37,48,85
P4P,6,9,15
P4R,13,14,27
P5A,6,12,18
P5E,11,12,23
P5N,18,23,41
P6A,102,87,189
P6B,110,46,156
P6C,25,21,46
P7A,92,89,181
P7B,86,98,184
P7C,40,46,86
P7E,35,43,78
P7G,68,53,121
P7J,26,24,50
P7K,26,31,57
P7L,7,7,14
P7N,,1,1
P8A,1,,1
P8N,20,18,38
P8T,5,14,19
P9A,8,14,22
P9N,27,24,51
